"pais","provincia","municipio","ciudad"
"ESPAÑA","SALAMANCA","CASTELLANOS_DE_MORISCOS","SIN_INFORMAR"
"ESPAÑA","BARCELONA","GIRONA","SIN_INFORMAR"
"MEXICO","CHIHUAHUA","CHíNIPAS","SIN_INFORMAR"
"LIBANO","LIBAN-SUD","CAZA_SOUR","MANSOURI"
"ESPAÑA","LA_CORUÑA","MUROS","SIN_INFORMAR"
" ","CORDOBA","SANTA MARIA","VILLA DEL PRADO"
" ","CORDOBA","PUNILLA","LOS COCOS"
"ESPAÑA","GRANADA","HUETOR_TAJAR","SIN_INFORMAR"
"BRASIL","SAO_PAULO","SãO_PAULO","RIBEIRãO_PIRES"
" ","SANTA FE","CONSTITUCION","VILLA CONSTITUCION"
"ARGENTINA","SANTIAGO_DEL_ESTERO","COPO","MONTE_QUEMADO"
"ARGENTINA","BUENOS_AIRES","QUILMES","SIN_INFORMAR"
"ARGENTINA","CHACO","SAN_LORENZO","VILLA_BERTHET_"
"ARGENTINA","SAN_JUAN","RIVADAVIA","RIVADAVIA"
"ARGENTINA","CATAMARCA","BELéN_","BELéN_"
"ARGENTINA","BUENOS_AIRES","LOBERíA","LOBERíA"
"ARGENTINA","SANTA_FE","ROSARIO","PIñERO"
"ARGENTINA","ENTRE_RIOS","GUALEGUAYCHú","PUEBLO_GENERAL_BELGRANO_"
"CANADA","QUEBEC","SIN_INFORMAR","SIN_INFORMAR"
"ARGENTINA","MENDOZA","LAVALLE","JOCOLí_VIEJO"
"ARGENTINA","CHACO","FRAY_JUSTO_SANTA_MARíA_DE_ORO","CHOROTIS_"
"ARGENTINA","CORDOBA","COLóN","LA_GRANJA"
"ARGENTINA","CORRIENTES","PASO_DE_LOS_LIBRES","PARADA_PUCHETA"
"ARGENTINA","CORDOBA","SAN_JUSTO","LA_TORDILLA"
"ARGENTINA","ENTRE_RIOS","FEDERAL","CONSCRIPTO_BERNARDI_"
"ARGENTINA","SANTIAGO_DEL_ESTERO","OJO_DE_AGUA","OJO_DE_AGUA"
"ARGENTINA","SALTA","GENERAL_GüEMES","EL_BORDO_"
"ARGENTINA","LA_RIOJA","CHILECITO","VICHIGASTA_"
"ARGENTINA","JUJUY","LEDESMA","CAIMANCITO_"
"ARGENTINA","CORDOBA","CRUZ_DEL_EJE","SAN_MARCOS_SIERRAS"
"ARGENTINA","SAN_JUAN","IGLESIA","RODEO_"
"ARGENTINA","RIO_NEGRO","GENERAL_ROCA","Bº_NORTE_(MUNICIPIO_GENERAL_ROCA)_"
"ARGENTINA","MENDOZA","SANTA_ROSA","LA_DORMIDA"
"ARGENTINA","BUENOS_AIRES","SAN_ANDRéS_DE_GILES","SOLíS"
"ARGENTINA","MENDOZA","LAVALLE","ALTO_DEL_OLVIDO"
"ARGENTINA","SANTA_FE","SAN_LORENZO","RICARDONE"
"ESPAÑA","GUADALAJARA","AZUQUECA_DE_HENARES","SIN_INFORMAR"
"ARGENTINA","SAN_JUAN","SARMIENTO","LOS_BERROS_"
"ARGENTINA","CHACO","OHiggins","LA_TIGRA_"
"ARGENTINA","SANTIAGO_DEL_ESTERO","MORENO","TINTINA"
"ARGENTINA","TUCUMAN","LEALES","AGUA_DULCE_Y_LA_SOLEDAD"
"ARGENTINA","LA_RIOJA","GENERAL_OCAMPO","VILLA_SANTA_RITA_DE_CATUNA_"
"ARGENTINA","BUENOS_AIRES","CAPITáN_SARMIENTO","LA_LUISA"
"ARGENTINA","BUENOS_AIRES","TRES_ARROYOS","SIN_INFORMAR"
"ARGENTINA","CORDOBA","GENERAL_ROCA","NICOLáS_BRUZZONE"
"ARGENTINA","BUENOS_AIRES","ROJAS","CARABELAS"
"ITALIA","PIEMONTE","SIN_INFORMAR","SIN_INFORMAR"
"ARGENTINA","CORDOBA","CALAMUCHITA","VILLA_YACANTO"
"ARGENTINA","SAN_LUIS","JUNíN_","CERRO_DE_ORO_"
"ARGENTINA","SANTA_FE","NUEVE_DE_JULIO","JUAN_DE_GARAY"
"ARGENTINA","ENTRE_RIOS","URUGUAY","PRONUNCIAMIENTO_"
"ARGENTINA","CORDOBA","PRESIDENTE_ROQUE_SáENZ_PEñA","LEGUIZAMóN"
"ARGENTINA","SAN_LUIS","BELGRANO_","SUYUQUE_NUEVO"
"ARGENTINA","SALTA","GENERAL_GüEMES","CABEZA_DE_BUEY_"
"ARGENTINA","BUENOS_AIRES","CARLOS_TEJEDOR","TIMOTE"
"ESPAÑA","BARCELONA","MOLLET_DEL_VALLES","SIN_INFORMAR"
"ARGENTINA","CHUBUT","LANGUIñEO","CARRENLEUFú_"
"ARGENTINA","SANTA_FE","SAN_JERóNIMO","CAMPO_PIAGGIO"
"MEXICO","MEXICO","NAUCALPAN_DE_JUáREZ","SIN_INFORMAR"
"ARGENTINA","RIO_NEGRO","EL_CUY","SIN_INFORMAR"
"ARGENTINA","JUJUY","YAVI","LA_INTERMEDIA_"
"ARGENTINA","MISIONES","IGUAZú","SIN_INFORMAR"
"ESPAÑA","GIRONA","BESCANO","SIN_INFORMAR"
"ARGENTINA","SANTA_CRUZ","CORPEN_AIKE","SIN_INFORMAR"
"ESPAÑA","GIRONA","LLAGOSTERA","SIN_INFORMAR"
"CHILE","VALPARAISO","LOS_ANDES","LOS_ANDES"
"ARGENTINA","BUENOS_AIRES","PEHUAJó","ALAGóN"
"ARGENTINA","JUJUY","COCHINOCA","POTRERO_"
"ESPAÑA","TARRAGONA","MORA_D´EBRE","SIN_INFORMAR"
"CHIPRE","SIN_INFORMAR","SIN_INFORMAR","SIN_INFORMAR"
"NUEVA_ZELANDA","MANAWATU","SIN_INFORMAR","SIN_INFORMAR"
"ARGENTINA","JUJUY","HUMAHUACA","LA_CUEVA"
"ESPAÑA","LLEIDA","VILAMÒS","SIN_INFORMAR"
"ARGENTINA","CATAMARCA","BELéN_","QUEBRADA_BELéN"
"ESPAÑA","TARRAGONA","FALSET","SIN_INFORMAR"
"ARGENTINA","SAN_JUAN","RIVADAVIA","RIVADAVIA_"
"MARRUECOS","CASABLANCA","SIN_INFORMAR","SIN_INFORMAR"
"REINO_UNIDO","BIRMINGHAM","SIN_INFORMAR","SIN_INFORMAR"
"ARGENTINA","CATAMARCA","LA_PAZ","SANTO_DOMINGO_"
"BRASIL","SANTA_CATARINA","CHAPECó","SIN_INFORMAR"
"BRASIL","PARANA","CURITIBA","ALMIRANTE_TAMANDARé"
"NORUEGA","SOGN_OG_FJORDANE","SIN_INFORMAR","SIN_INFORMAR"
"BRASIL","SANTA_CATARINA","RIO_DO_SUL","RIO_DO_SUL"
"SUECIA","GAVLEBORGS_LAN","SIN_INFORMAR","SIN_INFORMAR"
"ARGENTINA","BUENOS_AIRES","CIUDAD_DE_BUENOS_AIRES","CHACARITA"
"ARGENTINA","SAN_LUIS","GENERAL_PEDERNERA_","EL_DURAZNO_"
"BRASIL","RIO_DE_JANEIRO","BACIA_DE_SãO_JOãO","RIO_DAS_OSTRAS"
"ARGENTINA","SIN_INFORMAR","SANTIAGO_DEL_ESTERO_CAPITAL","SIN_INFORMAR"
"REINO_UNIDO","FIFE","SIN_INFORMAR","SIN_INFORMAR"
"ESPAÑA","GUADALAJARA","TRIJUEQUE","SIN_INFORMAR"
"ESPAÑA","ASTURIAS","CANGAS_DEL_NARCEA","SIN_INFORMAR"
"ARGENTINA","SIN_INFORMAR","BERISSO","SIN_INFORMAR"
"MEXICO","HIDALGO","ZIMAPáN","SIN_INFORMAR"
"ARGENTINA","BUENOS_AIRES","CIUDAD_DE_BUENOS_AIRES","FLORESTA"
"PAKISTAN","PUNJAB","SIN_INFORMAR","SIN_INFORMAR"
"NUEVA_ZELANDA","PAHIATUA","SIN_INFORMAR","SIN_INFORMAR"
"ESPAÑA","NAVARRA","ARTAJONA","SIN_INFORMAR"
"ARGENTINA","CORDOBA","PATIñO","SIN_INFORMAR"
" ","BUENOS AIRES","SAN MIGUEL","SAN MIGUEL"
"ARGENTINA","BUENOS_AIRES","LA_PLATA","LA_PLATA"
"ARGENTINA","MENDOZA","SAN_RAFAEL_","SAN_RAFAEL"
"ARGENTINA","ENTRE_RIOS","NOGOYá","CRUCESITAS_TERCERA_"
"ARGENTINA","MENDOZA","GENERAL_ALVEAR","GENERAL_ALVEAR"
"ARGENTINA","BUENOS_AIRES","ALMIRANTE_BROWN","LONGCHAMPS"
"ARGENTINA","CORRIENTES","GOYA","GOYA"
"ARGENTINA","BUENOS_AIRES","HURLINGHAM","SIN_INFORMAR"
"ARGENTINA","CHUBUT","CUSHAMEN","EL_MAITéN_"
"ARGENTINA","CHUBUT","CUSHAMEN","LAGO_PUELO_"
"ARGENTINA","SANTA_FE","CASTELLANOS","COLONIA_ALDAO"
"ARGENTINA","RIO_NEGRO","AVELLANEDA","POMONA_"
"PERU","LIMA","SIN_INFORMAR","SIN_INFORMAR"
"ARGENTINA","SANTA_CRUZ","CORPEN_AIKE","PUERTO_SANTA_CRUZ"
"ARGENTINA","RIO_NEGRO","GENERAL_ROCA","CORONEL_J._J._GOMEZ_"
"ARGENTINA","CORDOBA","SAN_JUSTO","SEEBER"
"ARGENTINA","SAN_JUAN","SARMIENTO","COLONIA_FISCAL_"
"ARGENTINA","CORDOBA","CALAMUCHITA","CALMAYO"
"ARGENTINA","MENDOZA","LAVALLE","LAS_VIOLETAS"
"ARGENTINA","SANTA_FE","GENERAL_LóPEZ","MURPHY"
"ARGENTINA","JUJUY","SANTA_BáRBARA","VINALITO_"
"ARGENTINA","LA_RIOJA","CHILECITO","SANTA_FLORENTINA_"
"ARGENTINA","BUENOS_AIRES","SALADILLO","CAZóN"
"REPUBLICA_CHECA","SIN_INFORMAR","SIN_INFORMAR","SIN_INFORMAR"
"CHILE","REGION_METROPOLITANA","SANTIAGO","LA_REINA"
"ARGENTINA","SALTA","ORáN","O'HIGGINS"
"ARGENTINA","BUENOS_AIRES","BRANDSEN","BARRIO_LAS_GOLONDRINAS"
"ARGENTINA","CORDOBA","TERCERO_ARRIBA","COLONIA_ALMADA"
"ARGENTINA","ENTRE_RIOS","VICTORIA","RINCóN_DE_NOGOYá_"
"ARGENTINA","CORDOBA","TULUMBA","ROSARIO_DEL_SALADILLO"
"ARGENTINA","SANTA_FE","GARAY","COLONIA_MASCíAS"
"ARGENTINA","SALTA","SALTA_CAPITAL","ATOCHA_"
"ESPAÑA","ALICANTE","ORIHUELA","SIN_INFORMAR"
"ARGENTINA","BUENOS_AIRES","GENERAL_ALVEAR","SIN_INFORMAR"
"ARGENTINA","BUENOS_AIRES","GENERAL_PINTO","SIN_INFORMAR"
"ARGENTINA","SIN_INFORMAR","CIUDAD_DE_BUENOS_AIRES","VILLA_URQUIZA"
"ARGENTINA","CATAMARCA","FRAY_MAMERTO_ESQUIú","LA_TERCERA_"
"ARGENTINA","BUENOS_AIRES","PUAN","LóPEZ_LECUBE"
"BRASIL","SAO_PAULO","FRANCA","SIN_INFORMAR"
"LUXEMBURGO","LUXEMBOURG","SIN_INFORMAR","SIN_INFORMAR"
"ESPAÑA","VALLADOLID","SIN_INFORMAR","SIN_INFORMAR"
"MEXICO","MEXICO","VALLE_DE_BRAVO","SIN_INFORMAR"
"ESPAÑA","NAVARRA","TUDELA","SIN_INFORMAR"
"ARGENTINA","CORRIENTES","GOYA","PASO_SAN_JUAN"
"ARGENTINA","BUENOS_AIRES","CARLOS_CASARES","ALGARROBOS"
"LIBANO","MONT-LIBAN","CAZA_BAABDA","HAZMIEH"
"ARGENTINA","BUENOS_AIRES","SALADILLO","ESTHER"
"BRASIL","ALAGOAS","SIN_INFORMAR","SIN_INFORMAR"
"VENEZUELA","TACHIRA","SIN_INFORMAR","SIN_INFORMAR"
"ARGENTINA","RIO_NEGRO","ADOLFO_ALSINA","SIN_INFORMAR"
"AUSTRALIA","SOUTH_AUSTRALIA","SIN_INFORMAR","SIN_INFORMAR"
"BOLIVIA","COCHABAMBA","QUILLACOLLO","SIPE_SIPE"
"EL_SALVADOR","SIN_INFORMAR","SIN_INFORMAR","SIN_INFORMAR"
"PANAMA","SIN_INFORMAR","SIN_INFORMAR","SIN_INFORMAR"
"ESPAÑA","ZARAGOZA","ALAGON","SIN_INFORMAR"
"ARGENTINA","TUCUMAN","SAN_MIGUEL","SIN_INFORMAR"
"ESPAÑA","VALENCIA","MASSANASSA","SIN_INFORMAR"
"ARGENTINA","SAN_JUAN","NUEVE_DE_JULIO","TRAHUNCURA"
"BRASIL","PARANA","CASCAVEL","CASCAVEL"
"MACAO","MACAU","SIN_INFORMAR","SIN_INFORMAR"
"ESPAÑA","CIUDAD_REAL","MORAL_DE_CALATRAVA","SIN_INFORMAR"
"MEXICO","CAMPECHE","CAMPECHE","SIN_INFORMAR"
"ARGENTINA","CIUDAD_DE_BUENOS_AIRES","ALMIRANTE_BROWN","SIN_INFORMAR"
"CHILE","VALPARAISO","PETORCA","ZAPALLAR"
"UGANDA","KAMPALA","SIN_INFORMAR","SIN_INFORMAR"
"ESPAÑA","CACERES","HOYOS","SIN_INFORMAR"
"GUINEA_ECUATORIAL","BIOKO_NORTE","SIN_INFORMAR","SIN_INFORMAR"
"INDONESIA","SUMATERA_UTARA","SIN_INFORMAR","SIN_INFORMAR"
"MEXICO","NUEVO_LEON","SANTA_CATARINA","SIN_INFORMAR"
"ESPAÑA","SEVILLA","CASARICHE","SIN_INFORMAR"
"EL_SALVADOR","LA_UNION","SIN_INFORMAR","SIN_INFORMAR"
"LIBANO","MONT-LIBAN","CAZA_KESROUAN","GHBALEH"
"REINO_UNIDO","BARKING_AND_DAGENHAM","SIN_INFORMAR","SIN_INFORMAR"
"ESLOVENIA","TOLMIN","SIN_INFORMAR","SIN_INFORMAR"
"ESPAÑA","SORIA","BURGO_DE_OSMA_CIUDAD_DE_OSMA","SIN_INFORMAR"
"COLOMBIA","CALDAS_DEPARTMENT","SIN_INFORMAR","SIN_INFORMAR"
"ESPAÑA","LLEIDA","AGRAMUNT","SIN_INFORMAR"
"ESPAÑA","GUADALAJARA","SIN_INFORMAR","SIN_INFORMAR"
"ESPAÑA","SEVILLA","CASTILBLANCO_DE_LOS_ARROYOS","SIN_INFORMAR"
"ESPAÑA","GUADALAJARA","MOLINA_DE_ARAGON","SIN_INFORMAR"
"BULGARIA","PLEVEN","SIN_INFORMAR","SIN_INFORMAR"
"TAILANDIA","UBON_RATCHATHANI","SIN_INFORMAR","SIN_INFORMAR"
"ESPAÑA","GRANADA","DILAR","SIN_INFORMAR"
"ESPAÑA","ZAMORA","JAMBRINA","SIN_INFORMAR"
"REINO_UNIDO","MEDWAY","SIN_INFORMAR","SIN_INFORMAR"
"FINLANDIA","WESTERN_FINLAND","SIN_INFORMAR","SIN_INFORMAR"
" ","CORDOBA","TOTORAL","VILLA DEL TOTORAL"
"MEXICO","JALISCO","PONCITLáN","SIN_INFORMAR"
"ESPAÑA","PONTEVEDRA","FORNELOS_DE_LOS_MONTES","SIN_INFORMAR"
"MEXICO","QUERETARO_DE_ARTEAGA","EL_MARQUéS","SIN_INFORMAR"
"BRASIL","MINAS_GERAIS","SãO_LOURENçO","SIN_INFORMAR"
"ESPAÑA","BARCELONA","SANT_QUIRZE_DE_BESORA","SIN_INFORMAR"
" ","CORDOBA","POCHO","LAS PALMAS"
"MARRUECOS","ESSAOUIRA","SIN_INFORMAR","SIN_INFORMAR"
" ","CORDOBA","MALAGUEÑO",""
"ARGENTINA","TUCUMAN","SAN_MIGUEL_DE_TUCUMáN","SAN_MIGUEL_DE_TUCUMáN"
"ARGENTINA","BUENOS_AIRES","LOMAS_DE_ZAMORA","VILLA_FIORITO"
"ARGENTINA","ENTRE_RIOS","FEDERACIóN","FEDERACIóN_"
"ARGENTINA","CORDOBA","SAN_JUSTO","SACANTA"
"ARGENTINA","LA_PAMPA","PUELéN","25_DE_MAYO_"
"ARGENTINA","BUENOS_AIRES","SAN_PEDRO","GOBERNADOR_CASTRO"
"ARGENTINA","BUENOS_AIRES","GENERAL_SAN_MARTíN","VILLA_CHACABUCO"
"ARGENTINA","MENDOZA","TUPUNGATO","CORDóN_DEL_PLATA"
"ARGENTINA","SANTA_FE","SAN_LORENZO","VILLA_MUGUETA"
"ARGENTINA","CATAMARCA","LA_PAZ","QUIRóS_"
"ARGENTINA","MENDOZA","MENDOZA_CAPITAL","1ª_SECCIóN_PARQUE_CENTRAL"
"ARGENTINA","RIO_NEGRO","PILCANIYEU","SIN_INFORMAR"
"SAN_MARINO","SAN_MARINO","SIN_INFORMAR","SIN_INFORMAR"
"ARGENTINA","NEUQUEN","ZAPALA","COVUNCO_"
"ARGENTINA","RIO_NEGRO","ÑORQUINCó","ÑORQUINCó_"
"ARGENTINA","SANTIAGO_DEL_ESTERO","RIVADAVIA","PALO_NEGRO"
"ARGENTINA","LA_RIOJA","INDEPENDENCIA","SIN_INFORMAR"
"ARGENTINA","BUENOS_AIRES","RIVADAVIA","GONZáLEZ_MORENO"
"ARGENTINA","ENTRE_RIOS","COLóN","UBAJAY_"
"ARGENTINA","BUENOS_AIRES","GENERAL_LA_MADRID","LíBANO"
"ARGENTINA","BUENOS_AIRES","BRANDSEN","OLIDEN"
"REPUBLICA_DOMINICANA","LA_ALTAGRACIA","SIN_INFORMAR","SIN_INFORMAR"
"ARGENTINA","BUENOS_AIRES","BRAGADO","LA_LIMPIA"
"ARGENTINA","CATAMARCA","PACLíN","LA_VIñA_"
"CUBA","LA_HABANA","SIN_INFORMAR","SIN_INFORMAR"
"ISRAEL","HADAROM","SIN_INFORMAR","SIN_INFORMAR"
"ARGENTINA","CHUBUT","TEHUELCHES","SIN_INFORMAR"
"GRECIA","SIN_INFORMAR","SIN_INFORMAR","SIN_INFORMAR"
"ESPAÑA","PONTEVEDRA","PORRIÑO__O","SIN_INFORMAR"
"KUWAIT","SIN_INFORMAR","SIN_INFORMAR","SIN_INFORMAR"
"ISRAEL","HAMERKAZ","RISHON_LEZION","SIN_INFORMAR"
"ARGENTINA","BUENOS_AIRES","LOBERíA","PIERES"
"ESPAÑA","SEVILLA","CAMAS","SIN_INFORMAR"
"FRANCIA","BRETAGNE","SIN_INFORMAR","SIN_INFORMAR"
"ARGENTINA","BUENOS_AIRES","ZáRATE","PARAJE_EL_TATú"
"ARGENTINA","BUENOS_AIRES","LAS_FLORES","HAROSTEGUY"
"BELGICA","NAMUR","SIN_INFORMAR","SIN_INFORMAR"
"ARGENTINA","CATAMARCA","SANTA_MARíA","PALOMA_YACO_"
"ESPAÑA","TOLEDO","CHOZAS_DE_CANALES","SIN_INFORMAR"
"ARGENTINA","JUJUY","SANTA_BáRBARA","VALLE_GRANDE"
"ARGENTINA","BUENOS_AIRES","MAIPú","SEGUROLA"
"MEXICO","COAHUILA_DE_ZARAGOZA","TORREóN","SIN_INFORMAR"
"ARABIA_SAUDITA","SIN_INFORMAR","SIN_INFORMAR","SIN_INFORMAR"
"MEXICO","MEXICO","OCOYOACAC","SIN_INFORMAR"
"ESPAÑA","CIUDAD_REAL","ALMAGRO","SIN_INFORMAR"
"ARGENTINA","TIERRA_DEL_FUEGO","SAN_ISIDRO","SAN_ISIDRO"
"ARGENTINA","BUENOS_AIRES","AYACUCHO","PARAJE_CANGALLO"
"PARAGUAY","CONCEPCION","SIN_INFORMAR","SIN_INFORMAR"
"BRASIL","PARANA","FOZ_DO_IGUAçU","MEDIANEIRA"
"REINO_UNIDO","BRENT","SIN_INFORMAR","SIN_INFORMAR"
"ESPAÑA","MADRID","VALDETORRES_DE_JARAMA","SIN_INFORMAR"
"ESPAÑA","LEON","PUEBLA_DE_LILLO","SIN_INFORMAR"
"ESPAÑA","CASTELLON","JÉRICA","SIN_INFORMAR"
"ARGENTINA","CATAMARCA","ANDALGALá","CAMPO_EL_PUCARá_"
"ESPAÑA","TARRAGONA","SANT_JAUME_DELS_DOMENYS","SIN_INFORMAR"
"ESPAÑA","GRANADA","VEGAS_DEL_GENIL","SIN_INFORMAR"
"ESPAÑA","TARRAGONA","CASTELLVELL_DEL_CAMP","SIN_INFORMAR"
"ESPAÑA","BARCELONA","BADIA_DEL_VALLES","SIN_INFORMAR"
"REINO_UNIDO","WORCESTERSHIRE","SIN_INFORMAR","SIN_INFORMAR"
"ESPAÑA","TARRAGONA","MONTMELL__EL","SIN_INFORMAR"
"CHILE","BIO-BIO","CONCEPCIóN","CHIGUAYANTE"
"ISRAEL","HAZAFON","NAHARIYA","SIN_INFORMAR"
"ESPAÑA","SEVILLA","CORIA_DEL_RIO","SIN_INFORMAR"
"BRASIL","SANTA_CATARINA","BLUMENAU","RODEIO"
"ESPAÑA","BARCELONA","SANTA_MARIA_DE_CORCO","SIN_INFORMAR"
"ESPAÑA","VIZCAYA","ZALLA","SIN_INFORMAR"
" ","BUENOS AIRES","TIGRE","TIGRE"
" ","CORDOBA","SAN JAVIER","LA POBLACION"
" ","BUENOS AIRES","SAN ISIDRO","SAN ISIDRO"
"BRASIL","MATO_GROSSO","RONDONóPOLIS","RONDONóPOLIS"
"BRASIL","MINAS_GERAIS","JUIZ_DE_FORA","SIN_INFORMAR"
"CHILE","LIBERTADOR_GENERAL_BERNARDO_OHIGGINS","CACHAPOAL","PEUMO"
" ","MENDOZA","TUPUNGATO","TUPUNGATO"
"ARGENTINA","CORDOBA","MARCOS_JUáREZ","COLONIA_MARCOS_SASTRE"
"ARGENTINA","CIUDAD_DE_BUENOS_AIRES","CIUDAD_DE_BUENOS_AIRES","PALERMO"
"ARGENTINA","BUENOS_AIRES","ESCOBAR","MATHEU"
